------ Current Surface: Coil-Plasma -------
Number of fourier modes in table
151
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
    45     0 -2.826943545727230E-04  9.774502136647345E-04  5.519169593858743E-05  7.878935894236126E-05 
    46     0 -3.127611899785671E-05  4.327572719693362E-04  3.794716398751075E-05 -1.220900630806215E-04 
    47     0  1.438614873754085E-04  3.234957667646597E-04  7.493505626143608E-05  2.338782761159260E-04 
    48     0 -1.822211621557435E-04  8.009009322993448E-04 -2.059948451161339E-04 -2.729892682390087E-05 
    49     0 -1.143658380921378E-06  9.013329373007632E-04 -1.536487724979049E-04 -3.276145475287250E-04 
    50     0  3.220731885842173E-04  5.202287121418717E-04  2.987587420931259E-04  1.420044658813634E-04 
    51     0 -5.243733503710935E-05  6.185735610670318E-04  1.602315712345194E-04  1.771149794149740E-04 
    52     0 -1.750522968224340E-04  7.410178411164212E-04 -2.442147834138204E-04 -1.657343666893266E-04 
    53     0  3.760489989138767E-05  5.870933280619794E-04 -7.230384814216342E-05 -3.434402535687205E-06 
    54     0 -9.057123815087522E-05  5.020587889559984E-04  2.376509472701167E-04  2.112700660681099E-04 
    55     0 -5.122780155794225E-05  3.809466217466461E-04 -1.963077191570635E-04 -1.512197920178229E-04 
    56     0  2.181330725992713E-04  4.248703158044735E-04 -1.678796883703402E-04 -1.128786691540091E-04 
    57     0 -6.803809102793735E-06  8.567320413031051E-04  2.026567792626021E-04  7.467724995333225E-05 
    58     0 -3.359855259314147E-05  7.528467708342935E-04  1.802957471125336E-04  3.968634708805348E-05 
    59     0  5.613032683185143E-05  2.784659708911689E-04 -1.266489189706814E-04  6.224909609068485E-06 
    60     0 -6.770294175869341E-05  3.042972487062645E-04 -1.139572046184072E-04  3.909548133789371E-05 
    61     0 -2.056221624741850E-04  6.773758873255327E-04  6.727036141752184E-05 -2.185289836327087E-05 
    62     0 -6.670016429652473E-06  5.868954910397511E-04  8.201209762579898E-05 -7.147596854359201E-05 
    63     0  2.476283931914444E-04  2.512556952595159E-04  4.071712933580659E-05  1.055674029564989E-05 
    64     0  1.936047800643812E-04  3.755160893303952E-04 -1.225060124792483E-04 -2.028691412544715E-05 
    65     0 -1.115423764795554E-04  6.936789013414620E-04 -3.103419016446627E-05  7.118535422183465E-05 
    66     0 -2.517683730823300E-04  6.255079144003495E-04  4.487607796405340E-05  1.014064367429843E-05 
    67     0 -8.103981272628091E-05  3.227282957215028E-04  1.526852487413631E-04  3.823864965744882E-05 
    68     0  1.007962518609645E-04  2.309727079505537E-04 -9.329386113234977E-05 -7.770468655505215E-05 
    69     0  1.295108787693163E-04  3.941738129268230E-04 -1.037332757923500E-04 -8.782771249598127E-05 
    70     0  1.038287983478878E-04  5.019521568381019E-04  3.099920288771084E-05  4.426792793653984E-05 
    71     0 -3.194167374718111E-05  4.881301859950860E-04  8.481011441004591E-05  1.470876120645940E-04 
    72     0 -1.186793506188634E-04  3.258886348500524E-04 -4.179366094270626E-05 -5.518226716996578E-05 
    73     0 -5.536620514511767E-05  3.713600692158397E-04  5.671167482194567E-05 -8.853222580880227E-05 
    74     0 -8.643903474310286E-05  5.178518148316430E-04  1.229721278572269E-05  3.237552819614874E-05 
    75     0  4.922359380025823E-05  3.242354345706122E-04 -1.195325737286267E-04  2.890421859499816E-05 
    76     0  2.062547770707776E-04  1.815687278701430E-04 -3.770777648062669E-05 -2.928525063130961E-05 
    77     0  1.239710101359596E-04  3.376927880408115E-04  9.560544024464699E-05  3.156237279076747E-05 
    78     0 -1.862574296118588E-04  4.561712665054134E-04  7.685931951119474E-05  2.241260374054997E-07 
    79     0 -1.965982452494042E-04  3.890342378158262E-04  1.785282288845186E-05 -3.755924846973831E-05 
    80     0  1.252506659260852E-05  3.789629132022397E-04 -7.143608710127838E-05  9.176093286322740E-07 
    81     0  1.163180603789048E-04  3.128994199729721E-04 -1.045940108089878E-04  3.224467583402520E-05 
    82     0  1.081095789712276E-04  2.088143411596412E-04  9.038195038548628E-05  1.715402824370162E-05 
    83     0  2.507296223947552E-05  2.406235199735992E-04  1.061177983100096E-04 -2.060758474752415E-05 
    84     0 -5.643490630510707E-05  3.313487719962103E-04 -3.827103298489730E-05 -1.986851128744011E-05 
    85     0 -1.046679939707540E-04  4.036693497996637E-04 -9.142262323124162E-05 -3.172047631510913E-05 
    86     0 -4.265083996271710E-05  4.129388878805582E-04  3.340551006857730E-05  2.402035778509320E-05 
    87     0  3.484835900208070E-05  2.441626587695780E-04  5.593145660193834E-05  6.395728827172058E-05 
    88     0  8.381922496303486E-05  1.266693158664089E-04  3.000807599017958E-06  9.618796234785713E-06 
    89     0  5.879727458198168E-05  1.999047601210637E-04 -4.039913682600590E-05 -6.881270698772480E-05 
    90     0 -1.187385208542887E-05  3.367629194348746E-04 -2.082887040372111E-05 -4.173656193631274E-05 
    91     0 -8.686434066405389E-05  3.412882132756167E-04  6.022104368479499E-05  3.418306112208358E-05 
    92     0 -5.998985710816372E-05  2.873492026273488E-04  3.980998114182346E-05  4.162351176941445E-05 
    93     0  2.613441673266291E-05  2.447282269145863E-04  7.232597462744150E-07  1.381743315254748E-05 
    94     0  5.854639311456419E-05  2.446495560753162E-04 -4.872509760030459E-05 -1.819870838788548E-05 
    95     0  3.242344100609924E-05  1.896251636711685E-04 -2.215299639220675E-05 -2.684903210901735E-05 
    96     0  8.816101394039019E-07  1.402143697264734E-04  5.404560810685822E-07 -1.072359943979030E-05 
    97     0 -2.387493973933857E-05  2.483871954545812E-04  3.755758179407806E-05  1.665037393932890E-05 
    98     0 -4.797739148840520E-05  3.367763696342037E-04 -1.485181315018936E-05 -1.368763362430181E-06 
    99     0 -1.216177539907729E-05  2.700921268202722E-04  2.756080738277976E-05  2.086821148317427E-05 
   100     0  2.624640308577180E-05  1.615517281253771E-04  1.756620970520012E-05 -9.059352939894316E-07 
   101     0  2.983722123358027E-05  1.492404286670319E-04 -3.249472604620883E-05 -2.606617870954731E-06 
   102     0  1.440668808120475E-05  1.444409182526009E-04 -4.240362861956700E-05 -2.155723004079856E-05 
   103     0 -7.476565414907115E-06  2.297509101326489E-04  4.516451715951140E-05  1.290692838802313E-06 
   104     0 -1.282688875668026E-05  2.528765523767201E-04  3.475917919417986E-05 -6.230676699028862E-07 
   105     0 -2.872065497301485E-05  2.146438040151601E-04 -9.580847412667788E-06  1.091546711033829E-05 
