------ Current Surface: Coil-Plasma -------
Number of fourier modes in table
151
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
   128     0 -5.894957594745804E-06  1.826472315882378E-04  3.067990277210083E-04  3.180607528816715E-05 
   129     0  1.081981202142467E-05  1.529820533552932E-04  3.129904369433740E-04 -1.066684255688666E-05 
   130     0  8.820932256998763E-06  1.478320036729521E-04  3.345709274751314E-04 -2.484053559849802E-05 
   131     0  6.830769315631276E-06  1.331347852323722E-04  3.337064109081860E-04 -1.453374912247309E-05 
   132     0 -5.088984462078487E-06  1.315393323121125E-04  3.117598981482539E-04  1.136949545481679E-05 
   133     0 -1.690572540723037E-05  9.566092493867355E-05  3.035506599910627E-04  1.164375691746410E-05 
   134     0 -1.431219311565007E-06  1.147781073467604E-04  3.110496898527115E-04 -2.267197786486106E-06 
   135     0  8.034642145228782E-06  1.166322204301971E-04  3.467116272529685E-04  1.146718741450697E-06 
   136     0  8.942258544146496E-06  1.270027851127248E-04  3.460426628835787E-04  6.863811670540441E-06 
   137     0 -7.627903276771040E-07  8.502364795158807E-05  3.356821325561969E-04  2.072889004293453E-06 
   138     0  1.036628431572896E-07  8.003643230324822E-05  3.142687858359777E-04 -2.600152194812133E-05 
   139     0 -6.778454872323003E-06  7.919531413909912E-05  3.400204127394591E-04 -2.711626010396248E-06 
   140     0 -4.087338625182174E-06  8.305306384169809E-05  3.382594830976754E-04  1.869054694240449E-05 
   141     0 -2.952243495596111E-06  5.769239979117081E-05  3.441775913939286E-04  1.853029291047317E-05 
   142     0  9.481378954961840E-06  5.401753404565422E-05  3.229743610077503E-04 -1.381715416661226E-05 
   143     0  9.872619120612997E-06  6.517271553399415E-05  3.428758539895139E-04 -2.010537052508520E-05 
   144     0 -9.618359454358648E-06  5.048549178393409E-05  3.513047798888008E-04  4.737858983561771E-06 
   145     0 -4.792291737368219E-06  4.155573813585169E-05  3.646195202612513E-04  2.061629170356638E-05 
   146     0 -4.835342745516914E-07  1.830006695890947E-05  3.355520154412488E-04  2.888667851554279E-06 
   147     0  4.858813706754694E-06  2.970842095881525E-05  3.310341232988811E-04 -2.645911677621449E-05 
   148     0 -1.320921413302891E-06  1.598115397617103E-05  3.283730776632422E-04 -5.521156523430196E-06 
   149     0  3.930797855646303E-06  1.696121175429223E-05  3.478845698034737E-04  2.096640181842751E-05 
   150     0 -3.504947544696188E-06 -7.378386694735433E-06  3.597926278655569E-04  2.154405714373408E-05 
